Serial Number,English,Traditional Chinese,French,Spanish,Japanese,Korean,German,Russian,Arabic,Portuguese
048,Humility,謙遜,Humilité,Humildad,謙虚,겸손,Demut,Смирение,تواضع,Humildade
049,Generosity,慷慨,Générosité,Generosidad,寛大,관대,Großzügigkeit,Щедрость,كرم,Generosidade
050,Loyalty,忠誠,Loyauté,Lealtad,忠誠,충성,Treue,Верность,ولاء,Lealdade

051,Justice,公正,Justice,Justicia,正義,정의,Gerechtigkeit,Справедливость,عدالة,Justiça
052,Simplicity,純粹,Simplicité,Simplicidad,簡素,단순,Einfachheit,Простота,بساطة,Simplicidade
053,Creativity,創造,Créativité,Creatividad,創造性,창의성,Kreativität,Творчество,إبداع,Criatividade
054,Harmony,和諧,Harmonie,Armonía,調和,조화,Harmonie,Гармония,انسجام,Harmonia
055,Authenticity,真我,Authenticité,Autenticidad,真正,진정성,Authentizität,Подлинность,أصالة,Autenticidade
056,Purpose,使命,But,Propósito,目的,목적,Zweck,Цель,هدف,Propósito
057,Legacy,傳承,Héritage,Legado,遺産,유산,Vermächtnis,Наследие,إرث,Legado
058,Excellence,卓越,Excellence,Excelencia,卓越,탁월,Exzellenz,Превосходство,تميز,Excelência
059,Gratitude,珍惜,Gratitude,Gratitud,感謝,감사,Dankbarkeit,Благодарность,امتنان,Gratidão
060,Faith,信念,Foi,Fe,信仰,믿음,Glaube,Вера,إيمان,Fé
061,Connection,連結,Connexion,Conexión,繋がり,연결,Verbindung,Связь,اتصال,Conexão
062,Distance,距離,Distance,Distancia,距離,거리,Distanz,Расстояние,مسافة,Distância
063,Belonging,歸屬,Appartenance,Pertenencia,帰属,소속,Zugehörigkeit,Принадлежность,انتماء,Pertencimento
064,Partnership,夥伴,Partenariat,Asociación,協力,파트너십,Partnerschaft,Партнёрство,شراكة,Parceria
065,Support,支持,Soutien,Apoyo,支援,지지,Unterstützung,Поддержка,دعم,Apoio
066,Forgiveness,原諒,Pardon,Perdón,許し,용서,Vergebung,Прощение,مغفرة,Perdão
067,Acceptance,接納,Acceptation,Aceptación,受容,수용,Akzeptanz,Принятие,قبول,Aceitação
068,Conflict,衝突,Conflit,Conflicto,対立,갈등,Konflikt,Конфликт,صراع,Conflito
069,Reunion,重逢,Retrouvailles,Reencuentro,再会,재회,Wiedersehen,Воссоединение,لم شمل,Reencontro
070,Separation,分離,Séparation,Separación,別離,분리,Trennung,Разлука,انفصال,Separação
071,Commitment,承諾,Engagement,Compromiso,献身,헌신,Engagement,Обязательство,التزام,Compromisso
072,Vulnerability,坦誠,Vulnérabilité,Vulnerabilidad,脆弱性,취약성,Verletzlichkeit,Уязвимость,ضعف,Vulnerabilidade
073,Understanding,理解,Compréhension,Comprensión,理解,이해,Verständnis,Понимание,تفاهم,Compreensão
074,Communication,溝通,Communication,Comunicación,コミュニケーション,소통,Kommunikation,Общение,تواصل,Comunicação
075,Empathy,共鳴,Empathie,Empatía,共感,공감,Empathie,Эмпатия,تعاطف,Empatia
076,Discover,發現,Découvrir,Descubrir,発見する,발견하다,Entdecken,Открывать,اكتشاف,Descobrir
077,Create,創造,Créer,Crear,創る,창조하다,Erschaffen,Создавать,إبداع,Criar
078,Build,建立,Construire,Construir,築く,건설하다,Bauen,Строить,بناء,Construir
079,Release,放下,Libérer,Soltar,手放す,놓아주다,Loslassen,Отпускать,إطلاق,Soltar
080,Protect,守護,Protéger,Proteger,守る,보호하다,Schützen,Защищать,حماية,Proteger
081,Explore,探索,Explorer,Explorar,探検する,탐험하다,Erkunden,Исследовать,استكشاف,Explorar
082,Adapt,適應,S'adapter,Adaptarse,適応する,적응하다,Anpassen,Адаптироваться,تكيف,Adaptar
083,Transform,蛻變,Transformer,Transformar,変容する,변화하다,Verwandeln,Преобразовать,تحول,Transformar
084,Decide,決定,Décider,Decidir,決める,결정하다,Entscheiden,Решать,قرر,Decidir
085,Wait,等待,Attendre,Esperar,待つ,기다리다,Warten,Ждать,انتظار,Esperar
086,Persist,堅持,Persévérer,Persistir,粘り強く続ける,인내하다,Beharren,Упорствовать,مثابرة,Persistir
087,Surrender,臣服,Se rendre,Rendirse,降伏する,항복하다,Sich ergeben,Сдаваться,استسلام,Render-se
088,Learn,學習,Apprendre,Aprender,学ぶ,배우다,Lernen,Учиться,تعلم,Aprender
089,Inspire,啟發,Inspirer,Inspirar,鼓舞する,영감을 주다,Inspirieren,Вдохновлять,إلهام,Inspirar
090,Lead,引領,Mener,Liderar,導く,이끌다,Führen,Вести,قيادة,Liderar
091,Destiny,命運,Destin,Destino,運命,운명,Schicksal,Судьба,قدر,Destino
092,Opportunity,契機,Opportunité,Oportunidad,機会,기회,Gelegenheit,Возможность,فرصة,Oportunidade
093,Time,時間,Temps,Tiempo,時間,시간,Zeit,Время,وقت,Tempo
094,Memory,記憶,Mémoire,Memoria,記憶,기억,Erinnerung,Память,ذاكرة,Memória
095,Identity,自我,Identité,Identidad,アイデンティティ,정체성,Identität,Идентичность,هوية,Identidade
096,Possibility,可能,Possibilité,Posibilidad,可能性,가능성,Möglichkeit,Возможность,إمكانية,Possibilidade
097,Mystery,未知之謎,Mystère,Misterio,神秘,신비,Geheimnis,Тайна,غموض,Mistério
098,Infinity,無限,Infini,Infinito,無限,무한,Unendlichkeit,Бесконечность,لانهاية,Infinito
099,Home,歸處,Foyer,Hogar,故郷,집,Zuhause,Дом,وطن,Lar
100,Journey,旅程,Voyage,Viaje,旅,여정,Reise,Путешествие,رحلة,Jornada
